player_id,puzzle_id,t_start,t_end,completion_time,success,error_count
1,Spoke Puzzle: Pasta in Sauce,141.7209822,198.5767799,56.85579769999998,1,0
1,Spoke Puzzle: Amount of Protein,285.8237439,353.9828217,68.15907779999998,1,1
1,Spoke Puzzle: Water Amount,449.9174973,481.9236451,32.00614780000001,1,0
1,Spoke Puzzle: Amount of Sunlight,591.1218936,655.8810016,64.75910799999997,1,0
1,Hub Puzzle: Cooking Pot,796.7371712,1008.4122325,211.67506129999992,1,4
2,Spoke Puzzle: Pasta in Sauce,222.5096183,303.9556367,81.44601840000001,1,0
2,Spoke Puzzle: Amount of Protein,929.7123102,957.677076,27.96476580000001,1,0
2,Spoke Puzzle: Water Amount,408.8176611,737.2007242,328.38306309999996,1,0
2,Spoke Puzzle: Amount of Sunlight,567.6326512,621.151454,53.51880279999989,1,0
2,Hub Puzzle: Cooking Pot,1076.4979348,1368.8987889,292.40085410000006,1,15
3,Spoke Puzzle: Pasta in Sauce,1240.9200847,1319.1847104,78.26462570000012,1,2
3,Spoke Puzzle: Amount of Protein,1005.2836688,1182.5439876,177.26031880000005,1,5
3,Spoke Puzzle: Water Amount,352.9193068,601.7136557,248.7943489,1,4
3,Spoke Puzzle: Amount of Sunlight,743.7984383,898.2973201,154.49888179999994,1,0
3,Hub Puzzle: Cooking Pot,1551.9733955,1895.2416972,343.26830170000017,1,3
5,Spoke Puzzle: Pasta in Sauce,1082.8090673,1170.1243413,87.31527400000004,1,2
5,Spoke Puzzle: Amount of Protein,913.3643713,977.3658079,64.00143660000003,1,0
5,Spoke Puzzle: Water Amount,225.2461198,428.2240804,202.9779606,1,0
5,Spoke Puzzle: Amount of Sunlight,550.3338041,791.7751164,241.44131230000005,1,0
5,Hub Puzzle: Cooking Pot,1246.0600447,1847.9712333,601.9111886000001,1,13
6,Spoke Puzzle: Pasta in Sauce,462.3574981,748.7950878,286.43758970000005,1,1
6,Spoke Puzzle: Amount of Protein,1830.4517204,2244.0641813,413.6124609000001,1,26
6,Spoke Puzzle: Water Amount,796.8774451,1140.0475004,343.17005529999994,1,4
6,Spoke Puzzle: Amount of Sunlight,1238.2223375,1536.6294849,298.4071474,1,1
6,Hub Puzzle: Cooking Pot,201.1924681,3029.0803962,2827.8879281,1,5
9,Spoke Puzzle: Pasta in Sauce,637.6332979,979.9319684,342.29867049999996,1,0
9,Spoke Puzzle: Amount of Protein,2614.2658018,2866.9928415,252.72703969999975,1,3
9,Spoke Puzzle: Water Amount,1093.6177966,1613.1290289,519.5112323000001,1,3
9,Spoke Puzzle: Amount of Sunlight,1831.0262091,2242.8620943,411.8358852000001,1,0
9,Hub Puzzle: Cooking Pot,3068.1984746,3471.6452037,403.4467291000001,1,5
10,Spoke Puzzle: Pasta in Sauce,403.4371882,742.6293624,339.1921742,1,1
10,Spoke Puzzle: Amount of Protein,1094.5943384,1539.2162819,444.62194350000004,1,9
10,Spoke Puzzle: Water Amount,1814.3937225,2128.1553682,313.7616456999999,1,4
10,Spoke Puzzle: Amount of Sunlight,2380.3887871,2536.0421093,155.65332219999982,1,0
10,Hub Puzzle: Cooking Pot,2883.2617645,3585.1202947,701.8585302000001,1,5
12,Spoke Puzzle: Pasta in Sauce,315.5113785,479.1995929,163.68821440000005,1,0
12,Spoke Puzzle: Amount of Protein,1744.6045453,1827.8554158,83.25087050000002,1,2
12,Spoke Puzzle: Water Amount,641.4127874,1041.9024064,400.48961900000006,1,0
12,Spoke Puzzle: Amount of Sunlight,1272.3423796,1332.4198632,60.07748360000005,1,2
12,Hub Puzzle: Cooking Pot,2080.8850498,2251.3343518,170.449302,1,11
14,Spoke Puzzle: Pasta in Sauce,702.4169233,724.2093692,21.79244589999996,1,0
14,Spoke Puzzle: Amount of Protein,814.473931,1220.9114539,406.4375229,1,2
14,Spoke Puzzle: Water Amount,1315.1826008,1432.2826232,117.10002239999994,1,2
14,Spoke Puzzle: Amount of Sunlight,1614.7694832,1772.7691952,157.99971200000005,1,2
14,Hub Puzzle: Cooking Pot,1942.5040942,2665.4634991,722.9594048999998,1,0
22,Spoke Puzzle: Pasta in Sauce,310.1248413,358.5649725,48.440131199999996,1,0
22,Spoke Puzzle: Amount of Protein,510.410297,699.682749,189.27245199999993,1,1
22,Spoke Puzzle: Water Amount,1049.9461334,1133.4280391,83.48190569999997,1,2
22,Spoke Puzzle: Amount of Sunlight,913.9318154,975.4186818,61.48686639999994,1,3
22,Hub Puzzle: Cooking Pot,1301.7051126,2207.7238562,906.0187435999999,1,27
23,Spoke Puzzle: Pasta in Sauce,1121.0367671,1218.4659274,97.42916030000015,1,2
23,Spoke Puzzle: Amount of Protein,1445.0468938,1530.3180379,85.27114410000013,1,2
23,Spoke Puzzle: Water Amount,684.7685559,800.5986254,115.83006949999992,1,1
23,Spoke Puzzle: Amount of Sunlight,343.6880724,579.0308603,235.34278789999996,1,0
23,Hub Puzzle: Cooking Pot,1902.9433399,2678.0857634,775.1424235,1,10
