player_id,puzzle_id,total_windows,pct_cluster_0,count_cluster_0,pct_cluster_1,count_cluster_1,transition_count,completion_time,success,error_count,stuck_group,error_group
1,Hub Puzzle: Cooking Pot,43,0.32558139534883723,14,0.6744186046511628,29,12,211.67506129999992,1,4,Low stuck %,High error-state %
1,Spoke Puzzle: Amount of Protein,14,0.21428571428571427,3,0.7857142857142857,11,2,68.15907779999998,1,1,Low stuck %,Low error-state %
1,Spoke Puzzle: Amount of Sunlight,14,0.2857142857142857,4,0.7142857142857143,10,4,64.75910799999997,1,0,Low stuck %,High error-state %
1,Spoke Puzzle: Pasta in Sauce,12,0.3333333333333333,4,0.6666666666666666,8,4,56.85579769999998,1,0,Low stuck %,High error-state %
1,Spoke Puzzle: Water Amount,8,0.5,4,0.5,4,4,32.00614780000001,1,0,Low stuck %,High error-state %
2,Hub Puzzle: Cooking Pot,59,0.3050847457627119,18,0.6949152542372882,41,14,292.40085410000006,1,15,Low stuck %,High error-state %
2,Spoke Puzzle: Amount of Protein,7,0.42857142857142855,3,0.5714285714285714,4,2,27.96476580000001,1,0,Low stuck %,High error-state %
2,Spoke Puzzle: Amount of Sunlight,12,0.3333333333333333,4,0.6666666666666666,8,2,53.51880279999989,1,0,Low stuck %,High error-state %
2,Spoke Puzzle: Pasta in Sauce,17,0.23529411764705882,4,0.7647058823529411,13,4,81.44601840000001,1,0,Low stuck %,High error-state %
2,Spoke Puzzle: Water Amount,55,0.07272727272727272,4,0.9272727272727272,51,4,328.38306309999996,1,0,High stuck %,Low error-state %
3,Hub Puzzle: Cooking Pot,70,0.3,21,0.7,49,18,343.26830170000017,1,3,Low stuck %,High error-state %
3,Spoke Puzzle: Amount of Protein,36,0.16666666666666666,6,0.8333333333333334,30,4,177.26031880000005,1,5,High stuck %,Low error-state %
3,Spoke Puzzle: Amount of Sunlight,32,0.15625,5,0.84375,27,4,154.49888179999994,1,0,High stuck %,Low error-state %
3,Spoke Puzzle: Pasta in Sauce,16,0.4375,7,0.5625,9,6,78.26462570000012,1,2,Low stuck %,High error-state %
3,Spoke Puzzle: Water Amount,51,0.1568627450980392,8,0.8431372549019608,43,10,248.7943489,1,4,High stuck %,Low error-state %
5,Hub Puzzle: Cooking Pot,121,0.2892561983471074,35,0.7107438016528925,86,30,601.9111886000001,1,13,Low stuck %,High error-state %
5,Spoke Puzzle: Amount of Protein,14,0.2857142857142857,4,0.7142857142857143,10,2,64.00143660000003,1,0,Low stuck %,High error-state %
5,Spoke Puzzle: Amount of Sunlight,49,0.10204081632653061,5,0.8979591836734694,44,6,241.44131230000005,1,0,High stuck %,Low error-state %
5,Spoke Puzzle: Pasta in Sauce,19,0.47368421052631576,9,0.5263157894736842,10,10,87.31527400000004,1,2,Low stuck %,High error-state %
5,Spoke Puzzle: Water Amount,41,0.0975609756097561,4,0.9024390243902439,37,6,202.9779606,1,0,High stuck %,Low error-state %
6,Hub Puzzle: Cooking Pot,566,0.13074204946996468,74,0.8692579505300353,492,106,2827.8879281,1,5,High stuck %,Low error-state %
9,Hub Puzzle: Cooking Pot,82,0.18292682926829268,15,0.8170731707317073,67,18,403.4467291000001,1,5,High stuck %,Low error-state %
9,Spoke Puzzle: Amount of Protein,52,0.1346153846153846,7,0.8653846153846154,45,8,252.72703969999975,1,3,High stuck %,Low error-state %
9,Spoke Puzzle: Amount of Sunlight,83,0.07228915662650602,6,0.927710843373494,77,10,411.8358852000001,1,0,High stuck %,Low error-state %
9,Spoke Puzzle: Pasta in Sauce,69,0.057971014492753624,4,0.9420289855072463,65,6,342.29867049999996,1,0,High stuck %,Low error-state %
9,Spoke Puzzle: Water Amount,105,0.06666666666666667,7,0.9333333333333333,98,12,519.5112323000001,1,3,High stuck %,Low error-state %
10,Hub Puzzle: Cooking Pot,142,0.16901408450704225,24,0.8309859154929577,118,30,701.8585302000001,1,5,High stuck %,Low error-state %
10,Spoke Puzzle: Amount of Protein,90,0.13333333333333333,12,0.8666666666666667,78,12,444.62194350000004,1,9,High stuck %,Low error-state %
10,Spoke Puzzle: Amount of Sunlight,32,0.125,4,0.875,28,2,155.65332219999982,1,0,High stuck %,Low error-state %
10,Spoke Puzzle: Pasta in Sauce,69,0.07246376811594203,5,0.927536231884058,64,8,339.1921742,1,1,High stuck %,Low error-state %
10,Spoke Puzzle: Water Amount,64,0.140625,9,0.859375,55,10,313.7616456999999,1,4,High stuck %,Low error-state %
12,Hub Puzzle: Cooking Pot,35,0.5142857142857142,18,0.4857142857142857,17,18,170.449302,1,11,Low stuck %,High error-state %
12,Spoke Puzzle: Amount of Protein,18,0.2777777777777778,5,0.7222222222222222,13,8,83.25087050000002,1,2,Low stuck %,High error-state %
12,Spoke Puzzle: Amount of Sunlight,13,0.38461538461538464,5,0.6153846153846154,8,4,60.07748360000005,1,2,Low stuck %,High error-state %
12,Spoke Puzzle: Pasta in Sauce,33,0.15151515151515152,5,0.8484848484848485,28,8,163.68821440000005,1,0,High stuck %,Low error-state %
12,Spoke Puzzle: Water Amount,81,0.04938271604938271,4,0.9506172839506173,77,6,400.48961900000006,1,0,High stuck %,Low error-state %
14,Hub Puzzle: Cooking Pot,146,0.19863013698630136,29,0.8013698630136986,117,24,722.9594048999998,1,0,High stuck %,Low error-state %
14,Spoke Puzzle: Amount of Protein,83,0.07228915662650602,6,0.927710843373494,77,8,406.4375229,1,2,High stuck %,Low error-state %
14,Spoke Puzzle: Amount of Sunlight,33,0.24242424242424243,8,0.7575757575757576,25,12,157.99971200000005,1,2,Low stuck %,High error-state %
14,Spoke Puzzle: Pasta in Sauce,5,0.8,4,0.2,1,2,21.79244589999996,1,0,Low stuck %,High error-state %
14,Spoke Puzzle: Water Amount,24,0.25,6,0.75,18,10,117.10002239999994,1,2,Low stuck %,High error-state %
22,Hub Puzzle: Cooking Pot,182,0.37362637362637363,68,0.6263736263736264,114,50,906.0187435999999,1,27,Low stuck %,High error-state %
22,Spoke Puzzle: Amount of Protein,38,0.13157894736842105,5,0.868421052631579,33,6,189.27245199999993,1,1,High stuck %,Low error-state %
22,Spoke Puzzle: Amount of Sunlight,14,0.42857142857142855,6,0.5714285714285714,8,4,61.48686639999994,1,3,Low stuck %,High error-state %
22,Spoke Puzzle: Pasta in Sauce,10,0.4,4,0.6,6,6,48.440131199999996,1,0,Low stuck %,High error-state %
22,Spoke Puzzle: Water Amount,18,0.3333333333333333,6,0.6666666666666666,12,8,83.48190569999997,1,2,Low stuck %,High error-state %
23,Hub Puzzle: Cooking Pot,156,0.16025641025641027,25,0.8397435897435898,131,20,775.1424235,1,10,High stuck %,Low error-state %
23,Spoke Puzzle: Amount of Protein,18,0.3333333333333333,6,0.6666666666666666,12,6,85.27114410000013,1,2,Low stuck %,High error-state %
23,Spoke Puzzle: Amount of Sunlight,48,0.08333333333333333,4,0.9166666666666666,44,4,235.34278789999996,1,0,High stuck %,Low error-state %
23,Spoke Puzzle: Pasta in Sauce,20,0.4,8,0.6,12,6,97.42916030000015,1,2,Low stuck %,High error-state %
23,Spoke Puzzle: Water Amount,25,0.2,5,0.8,20,6,115.83006949999992,1,1,High stuck %,Low error-state %
