VideoTimeStamp,SegmentStart,SegmentEnd,Transcript,SpeakerID
User-16_2025-06-30 17-23-05,0.0,2.0,"Okay, did the reset work?",16
User-16_2025-06-30 17-23-05,2.0,4.0,Find out.,16
User-16_2025-06-30 17-23-05,4.0,6.0,I removed the survey data totally from here.,16
User-16_2025-06-30 17-23-05,6.0,8.0,Okay.,16
User-16_2025-06-30 17-23-05,8.0,10.0,I mean we have it in Qualtrics.,16
User-16_2025-06-30 17-23-05,10.0,12.0,"Yeah, I downloaded it locally.",16
User-16_2025-06-30 17-23-05,12.0,14.0,Okay.,16
User-16_2025-06-30 17-23-05,14.0,16.0,Okay.,16
User-16_2025-06-30 17-23-05,16.0,18.0,It says user 16 doesn't exist.,16
User-16_2025-06-30 17-23-05,18.0,20.0,Okay.,16
User-16_2025-06-30 17-23-05,20.0,22.0,The study will start.,16
User-16_2025-06-30 17-23-05,22.0,24.0,Shall we begin?,16
User-16_2025-06-30 17-23-05,24.0,26.0,"No, no, no.",16
User-16_2025-06-30 17-23-05,26.0,28.0,You'll have to just put in the number again.,16
User-16_2025-06-30 17-23-05,28.0,32.0,I'll take the chair from behind you so that it's not a tripping design.,16
User-16_2025-06-30 17-23-05,34.0,36.0,Should I say enable?,16
User-16_2025-06-30 17-23-05,36.0,38.0,"Oh yeah, enable, yes.",16
User-16_2025-06-30 17-23-05,44.0,46.0,Where does it take you?,16
User-16_2025-06-30 17-23-05,46.0,48.0,"Meta, the logo is appearing.",16
User-16_2025-06-30 17-23-05,48.0,50.0,Okay.,16
User-16_2025-06-30 17-23-05,50.0,52.0,Your device setup is still in progress.,16
User-16_2025-06-30 17-23-05,52.0,54.0,Please take off the headset and come.,16
User-16_2025-06-30 17-23-05,54.0,56.0,Now is it done? Yes.,16
User-16_2025-06-30 17-23-05,56.0,58.0,Are you in the white room? Yes.,16
User-16_2025-06-30 17-23-05,58.0,60.0,Okay.,16
User-16_2025-06-30 17-23-05,60.0,62.0,Thank you for your patience.,16
User-16_2025-06-30 17-23-05,62.0,64.0,That's okay.,16
User-16_2025-06-30 17-23-05,64.0,66.0,Sorry for the trouble.,16
User-16_2025-06-30 17-23-05,66.0,68.0,It's all right.,16
User-16_2025-06-30 17-23-05,68.0,70.0,Okay.,16
User-16_2025-06-30 17-23-05,70.0,72.0,"So you can, yeah, go ahead.",16
User-16_2025-06-30 17-23-05,74.0,76.0,Okay.,16
User-16_2025-06-30 17-23-05,76.0,78.0,It's a little sensitive.,16
User-16_2025-06-30 17-23-05,78.0,80.0,Okay.,16
User-16_2025-06-30 17-23-05,80.0,82.0,It's a little sensitive.,16
User-16_2025-06-30 17-23-05,82.0,84.0,Okay.,16
User-16_2025-06-30 17-23-05,84.0,86.0,Okay.,16
User-16_2025-06-30 17-23-05,86.0,88.0,Okay.,16
User-16_2025-06-30 17-23-05,88.0,90.0,Okay.,16
User-16_2025-06-30 17-23-05,90.0,92.0,Okay.,16
User-16_2025-06-30 17-23-05,92.0,94.0,Okay.,16
User-16_2025-06-30 17-23-05,94.0,96.0,Okay.,16
User-16_2025-06-30 17-23-05,96.0,98.0,Okay.,16
User-16_2025-06-30 17-23-05,98.0,100.0,Welcome.,16
User-16_2025-06-30 17-23-05,100.0,102.0,Take a moment to look around.,16
User-16_2025-06-30 17-23-05,102.0,104.0,You will see a boundary around you.,16
User-16_2025-06-30 17-23-05,104.0,106.0,You can move around.,16
User-16_2025-06-30 17-23-05,106.0,108.0,"To grab an object, simply reach out and close your face.",16
User-16_2025-06-30 17-23-05,108.0,110.0,"To grab an object, simply reach out and close your face.",16
User-16_2025-06-30 17-23-05,110.0,112.0,You can teleport around the space in VR.,16
User-16_2025-06-30 17-23-05,112.0,114.0,You can teleport around the space in VR.,16
User-16_2025-06-30 17-23-05,114.0,116.0,"To do so, follow the gesture shown near your right hand.",16
User-16_2025-06-30 17-23-05,116.0,118.0,"To do so, follow the gesture shown near your right hand.",16
User-16_2025-06-30 17-23-05,118.0,127.66,aside from turning physically you can when you're ready press,16
User-16_2025-06-30 17-23-05,127.66,145.68,please tell me if the wire again,16
